author,books_num,mean_rating,mean_review_count
Arsen Gonian,1,5.0,1.0
C. И. Никишов,1,4.7,3.0
ChatGPT-4,2,3.95,9.0
Eugeny Shtoltc,1,4.0,0.0
Jean-Loup Chrétien,1,4.3,3.0
Jeremy Keith,1,3.9,2.0
Nulls,2,2.2,3.0
QABook,1,4.7,4.0
Roman Gurbanov,3,4.466666666666666,3.3333333333333335
SAP ERP Education,1,3.0,2.0
nikf,1,3.7,6.0
wendy  despain,1,4.2,2.0
А. А. Бабаев,1,0.0,0.0
А. А. Вичугова,2,2.0,0.0
А. А. Волков,1,4.5,0.0
А. А. Гавришев,1,0.0,0.0
А. А. Гладкий,1,3.9,7.0
А. А. Дерягин,2,2.5,0.0
А. А. Дробышев,1,5.0,1.0
А. А. Дунаев,1,2.0,0.0
А. А. Емельянов,11,0.0,0.0
А. А. Ефимов,1,3.8,1.0
А. А. Казанский,1,2.4,6.0
А. А. Левков,1,0.0,0.0
А. А. Островский,1,0.0,0.0
А. А. Писарчук,1,0.0,0.0
А. А. Салахова,1,3.8,2.0
А. А. Салтан,1,0.0,0.0
А. А. Субачева,1,0.0,0.0
А. А. Фокин,1,0.0,0.0
А. А. Черняк,1,3.0,1.0
А. А. Шевченко,1,0.0,0.0
А. Б. Борисенко,1,0.0,0.0
А. В. Гриншкун,1,5.0,0.0
А. В. Дорошенко,1,4.5,0.0
А. В. Замятин,2,0.0,0.0
А. В. Калютов,1,4.4,0.0
А. В. Корягин,4,4.65,4.25
А. В. Корягина,2,4.8,3.5
А. В. Костров,1,0.0,0.0
А. В. Кравченко,1,0.0,0.0
А. В. Кудинов,2,2.5,0.5
А. В. Куров,1,0.0,0.0
А. В. Кучуганов,1,0.0,0.0
А. В. Кычкин,1,0.0,0.0
А. В. Леденёв,1,0.0,0.0
А. В. Логинова,1,0.0,0.0
А. В. Людомир,1,0.0,0.0
А. В. Малдрик,1,0.0,0.0
А. В. Мищенко,2,0.0,0.0
А. В. Морозова,1,0.0,0.0
А. В. Силуянов,2,1.5,0.0
А. В. Толок,5,1.0,0.0
А. В. Фараонов,1,0.0,0.0
А. В. Федотов,1,0.0,0.0
А. В. Цветкова,2,4.35,0.5
А. В. Чеканин,2,4.5,0.0
А. В. Чернов,1,0.0,0.0
А. В. Юрков,1,3.7,0.0
А. Г. Мадера,1,0.0,0.0
А. Г. Михеев,1,0.0,0.0
А. Г. Реннер,1,0.0,0.0
А. Г. Сергиенко,1,0.0,0.0
А. Г. Тормасов,2,0.0,0.0
А. Д. Шеметова,1,0.0,0.0
А. Е. Антонов,1,0.0,0.0
А. И. Бородин,1,0.0,0.0
А. И. Васицына,1,0.0,0.0
А. И. Волков,1,1.5,1.0
А. И. Мочалов,1,0.0,0.0
А. И. Надеев,1,0.0,0.0
А. И. Павленко,1,0.0,0.0
А. И. Сеславин,1,0.0,0.0
А. И. Сорокин,1,0.0,0.0
А. И. Фомичев,1,0.0,0.0
А. И. Ястребов,1,0.0,0.0
А. К. Абд Эльрахим,1,0.0,0.0
А. К. Поляков,1,4.0,1.0
А. Л. Баденко,1,0.0,0.0
А. Л. Горбунов,1,0.0,0.0
А. М. Пеленицын,1,0.0,0.0
А. М. Чеповский,1,0.0,0.0
А. Н. Земцов,2,0.0,0.0
А. Н. Мальчуков,1,5.0,0.0
А. Н. Чурсин,1,0.0,0.0
А. П. Димитриев,1,0.0,0.0
А. П. Жук,1,0.0,0.0
А. П. Лахно,1,0.0,0.0
А. П. Новиков,4,1.25,0.0
А. С. Кислов,1,4.8,3.0
А. С. Копырин,1,4.8,0.0
А. С. Михайлов,1,1.0,0.0
А. С. Новиков,1,0.0,0.0
А. С. Потапов,1,5.0,0.0
А. С. Степашкина,1,0.0,0.0
А. С. Федулов,1,0.0,0.0
А. С. Черкашин,1,0.0,0.0
А. Т. Григорьев,2,4.8,2.5
А. Ф. Антипин,1,0.0,0.0
А. Ф. Страхов,1,5.0,0.0
А. Ф. Шориков,2,0.0,0.0
А. Ю. Артемьев,1,0.0,0.0
А. Ю. Босова,7,3.7142857142857144,1.2857142857142858
А. Ю. Никифоров,1,0.0,0.0
А. Ю. Новиков,1,0.0,0.0
А. Ю. Переварюха,1,0.0,0.0
А. Ю. Хитёв,1,3.7,0.0
Адам Беллемар,1,0.0,0.0
Адриана Таке,1,3.8,4.0
Айгуль Султанова,1,5.0,7.0
Акаш Тандон,1,0.0,0.0
Алан Бьюли,2,4.1,6.0
Алан Купер,2,3.7,19.5
Алекс Бэнкс,1,5.0,3.0
Алекс Дж. Гатман,1,4.7,3.0
Алекс Дэвис,1,4.5,4.0
Алекс Сюй,2,4.3,4.5
Александр Ваньков,1,3.8,3.0
Александр Васильев,1,2.5,1.0
Александр Владимирович Соколов,2,5.0,0.0
Александр Вячеславович Фролов,2,4.05,6.0
Александр Гончаров,1,5.0,0.0
Александр Евгеньевич Попов,2,4.7,1.0
Александр Леоненков,2,4.5,2.5
Александр Побегайло,1,4.9,1.0
Александр Торговкин,2,5.0,0.5
Александр Чипижко,1,3.2,16.0
Александр Чиртик,2,4.65,5.5
Александра Журавлева,2,5.0,0.0
Александра Турабова,2,4.5,1.0
Алексей Васильев,6,4.133333333333334,7.833333333333333
Алексей Голощапов,1,4.5,1.0
Алексей Михайлович Губернаторов,1,4.0,0.0
Алексей Михнин,1,1.0,1.0
Алексей Павлович Борисов,2,4.25,1.0
Алексей Пушкин,1,4.0,1.0
Али Аминиан,1,5.0,0.0
Алина Мальгинова,1,5.0,4.0
Алиса Попова,1,3.9,1.0
Алёна Шаронова,1,5.0,7.0
Анатолий Енин,1,4.0,1.0
Анатолий Постолит,3,2.766666666666667,2.3333333333333335
Андреас М. Антонопулос,1,3.2,2.0
Андрей Гарнаев,1,4.0,5.0
Андрей Грачев,1,3.9,8.0
Андрей Диков,1,5.0,0.0
Андрей Жуков,1,4.0,0.0
Андрей Клименко,1,4.5,7.0
Андрей Шумин,1,4.0,1.0
Анил Мадхавапедди,1,5.0,2.0
Анирад Коул,1,5.0,2.0
Антти Лааксонен,1,5.0,3.0
Антти Салонен,1,1.0,0.0
Арсений Олегович Матыцин,1,3.2,4.0
Артем Демиденко,11,4.290909090909091,1.3636363636363635
Артём Седов,1,3.0,0.0
Аурика Луковкина,1,5.0,0.0
Б. А. Садовский,1,4.5,0.0
Б. В. Прокофьев,1,4.9,2.0
Б. Д. Микеладзе,1,0.0,0.0
Б. Д. Шашков,1,0.0,0.0
Б. Н. Поляков,1,0.0,0.0
Бассенс Аглаэ,1,5.0,2.0
Бен Клеменс,1,3.9,3.0
Бен Фрэйн,1,4.8,2.0
Бенджамин Дж. Эванс,1,0.0,0.0
Билл Беджек,1,5.0,0.0
Билл Любанович,2,3.65,6.5
Билл Филлипс,1,4.7,4.0
Борис Вольфсон,1,3.2,6.0
Борис Дмитриевич Яровой,1,5.0,2.0
Борис Пасхавер,1,4.2,2.0
Борис Черный,1,4.9,4.0
Брайан Макмахан,1,4.5,2.0
Брайан Уорд,1,3.9,5.0
Брайсон Пэйн,1,4.3,14.0
Бретт Мак-Лахлин,1,4.3,1.0
Брэдфорд Такфилд,1,5.0,3.0
Брюс А. Тейт,1,4.0,3.0
Брюс Смит,1,0.0,1.0
Брюс Шнайер,2,4.25,5.5
Бьерн Страуструп,1,4.4,5.0
В. А. Алексеев,1,5.0,0.0
В. А. Бобков,1,0.0,0.0
В. А. Немтинов,1,0.0,0.0
В. А. Русаков,1,0.0,0.0
В. А. Сартаков,1,0.0,0.0
В. А. Чеканин,2,4.5,0.0
В. А. Шакиров,1,0.0,0.0
В. А. Шихин,1,0.0,0.0
В. Б. Иванов,1,1.4,2.0
