name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Изучаем DDD – предметно-ориентированное проектирование,['Влад Хононов'],https://www.litres.ru/book/vlad-hononov/izuchaem-ddd-predmetno-orientirovannoe-proektirovanie-70920895/,0.0,0,1,319.0,549.0,"['Эта книга из той лиги, в которой я пока не состою - лиги крутых разрабов и архитекторов. И я имею ввиду не какую-то субъективную оценку. Разработчикам с малым опытом нужно читать конкретику, изучать дальше фишки языка, алгоритмы. Какой смысл от джуна, который знает, что такое предметная область, но не может послать запрос на сервер? Как мне кажется, пользы от него мало. Прочитал я где-то 30% и решил отложить ее до лучших времен.']",0+,2022.0
"Высоконагруженные приложения. Программирование, масштабирование, поддержка (pdf+epub)",['Мартин Клеппман'],https://www.litres.ru/book/martin-kleppman-1733/vysokonagruzhennye-prilozheniya-programmirovanie-mass-39100996/,4.0,51,11,640.0,799.0,"['Не могу что-либо про перевод сказать, читал данную книгу в оригинале. Очень толково и по делу описаны базы данных и интерфейсы. С другой же стороны – половину книги можно вырезать без какой либо потери в качестве и содержании…', 'Altmann Nicolas, hello world', 'Книга претендует на звание «must read» для разработчика отказоустойчивых систем. Представляет собой в первую очередь и в большей мере учебник, нежели справочник. Книга в полной мере раскрывает принципы функционирования самых разных баз данных. Но это далеко не всё, в книге описаны подходы и общие принципы к решению проблем отказов узлов в распределенных системах, выходящие за границы области баз данных. В русскоязычных сообществах книга зовется «кабанчик» и стала классикой в области разработки и проектирования распределенных отказоустойчивых решений. Отмечу высокий порог вхождения для некоторых деталей книги, в том числе B-деревья, алгоритмы консенсуса, и другие математические моменты.', 'Отличная книга, раскрывающая внутреннее устройство баз данных. Даёт понимание, в каких сценариях использовать БД того или иного класса.', 'Книга «с кабанчиком» обязательна к прочтению — это наиболее полное руководство к построению распределённых систем с фокусом на обработку данных (коими является большинство современных web-приложений), основные проблемы, с которыми приходится сталкиваться при проектировании и варианты их решений.', 'Книга стала настольной. Считаю ее необходимой практически любому разработчику или системному аналитику. Описаны все основные аспекты и лучшие практики. Рекомендую']",16+,2017.0
System Design. Подготовка к сложному интервью,['Алекс Сюй'],https://www.litres.ru/book/aleks-suy/system-design-podgotovka-k-slozhnomu-intervu-67193183/,3.6,17,9,304.0,699.0,"['Добротная книга по разработке архитектуры приложений. Замечательно подойдет программистам уровня Junior+ и выше. Умение проектировать дизайн приложения играет большую роль при разработке ПО, поэтому рекомендую ознакомиться с одержанием)', 'Отличная книга по дизайну систем – помимо примеров как решать задачи на интервью в ней присутствуют подробные описания какие решения могут быть приняты в различных ситуациях. Если кандидат её прочитает и поймёт почему определённые решения хороши в определённых ситуациях, то он сможет проити систем дизайн интервью со смной.', 'Отличная книга для тех, кто заинтересован в backend разработке высоконагруженных систем. Автор начитает с самых азов (объясняет для чего нужен CDN, кеш, реплицирование и что такое хеширование) и заканчивает сложными многокомпонентыми системами вроде ленты FB или облачного хранилища файлов (например google drive). Много схем и пояснений, а так же ссылок на дополнительный материал.', 'Для всех, кто интересуется проектированием систем (архитектурой) эта книга станет отличным стартом. Да, темы разобраны не очень подробно, но таков формат книги - азы для ответов на интервью по этой теме.', 'Полезная книга для всех, кто готовится проходить интервью по системному проектированию. В этой книге затронуты практически все аспекты, о которых спрашивают во время прохождения реального интервью. Однако надо понимать, что все темы затронуты очень поверхностно просто для того, чтобы у вас, во-первых, сложилось понимание, как выглядит алгоритм прохождения подобного вида интервью, какие в нём есть основные этапы, и в какой последовательности следует решать поставленную задачу. А во-вторых, у вас должно появиться понимание, какие в принципе существуют технологии для решения тех или иных проблем при проектировании высоконагруженных систем. Далее при желании вы всегда сможете углубить свои знания в этих технологиях. В книге кстати приводится внушительный список дополнительных источников информации по каждому разделу.']",16+,2020.0
Начинаем программировать на Python,['Тони Гэддис'],https://www.litres.ru/book/toni-geddis-32491161/nachinaem-programmirovat-na-python-68998912/,5.0,16,6,875.0,599.0,"['Шикарная книга! Начал изучать Python самостоятельно, пробежался по куче книг и ничего не было понятно, а эта книга изменила всё! Всем рекомендую', 'Главное берите в электроне. Печатное издание полное ""г"". Пока дошёл до конца, вся книга развалилась и искать что-то очень проблематично. Выбросил печатное и сейчас в электроне перекупил. Книга супер,  даёт начальное представление, но после 800 страниц становится немного грустно, потому что понимаешь, что выучить синтаксис и умение программировать, это две разные вещи. После этой книги есть реальный шанс начать понимать более серьёзную литературу.', 'Лучшая книга для начинающих программировать на Python, и от издательства ZIP архив (~700Mb) (Состав архива: source-codes – исходные коды, VideoNotes – обучающие видео на английском языке).', 'Начинаем программировать на Python от Тони Гэддиса - это неплохая книга для изучения базового синтаксиса и концепций, которая раскрывает темы по их сложности. Сам по себе учебник не даст вам глубинного понимания о том, как работает язык. В плюсы хочу отнести то, что после каждой главы идут интересные задачи и вопросы, некоторые из которых заставят начинающего подумать.', 'Я по ней учусь, нашёл совет учиться по ней в интернете. Как для новичка-очень простая, подробная, много примеров и задач. Рекомендую всем начинать именно с неё!']",12+,2021.0
Нейросети начало,['Джейд Картер'],https://www.litres.ru/book/dzheyd-karter/neyroseti-nachalo-69188950/,4.9,440,37,102.0,690.0,"['Книга отличная. Давно хотела понять как все работает и какие возможности дают нейросети. В книге удобно и понятно все расписано. А главное сразу практическое применение, код. Теперь можно и свои сети попробовать делать.', 'Если вы хотите начать изучать нейросети, то это то, что вам нужно. Автор очень хорошо объясняет, что такое нейросеть и как она работает. Книга содержит примеры и задания, которые помогут вам углубить свои знания в этой области. Я думаю, что эта книга подойдет для всех, кто интересуется нейросетями, независимо от уровня подготовки.', 'В книге по каждой теме приводятся примеры кода, на которых подробно описан каждый шаг. Это очень удобно. Можно скопировать код и проверить его.', 'Примеры кодов, тут их много. Новичок в теме или нет, а основы всегда должны быть под рукой. Очень удобно с электронки, скопировал код, и дальше уже меняешь под себя как надо. И для тех кто только пытается понять, тоже сразу на примерах каждый шаг. Отлично!', 'Это отличное введение в мир нейросетей для начинающих. Я научился многому о том, как работают нейроны, как они связаны в нейросетях, как обучать и применять их для различных задач, таких как классификация, регрессия и кластеризация. Автор ясно и доступно объясняют сложные концепции и методы, используя практические примеры и код. Я рекомендую эту книгу всем, кто хочет понимать, как работают нейросети и как их применять в реальной жизни.']",12+,2023.0
Python Библиотеки,['Джейд Картер'],https://www.litres.ru/book/dzheyd-karter/python-biblioteki-70323379/,5.0,344,11,192.0,690.0,"['На каждую библиотеку в книге приводится пример ее использования. Много задач объясняется как решить с помощью этих инструментов. Я иногда забываю, что в какой библиотеке можно найти, буду использовать книгу как напоминание.', 'Давно хотела сделать для себя шпаргалку по этим библиотекам и разложить все в голове. А тут книга готовая. Наверное не только мне приходила такая мысль.', 'Книга является хорошим ресурсом для тех, кто хочет быстро понять, какие библиотеки Python могут быть полезны в их проектах.', 'Отличное пособие, очень удобно иметь как подсказку или напоминание для тех кто использует язык Python. Мне по началу было сложно разобраться в этих нескончаемых бтблиотеках, я и сейчас иногда теряюсь и не сразу могу вспомнить что лучше использовать.', 'Класс! То что нужно мне было. А то я запуталась и каша в голове была. Теперь хоть какое-то представление разложилось. Хоть и не все библиотеки тут есть, но основные представлены и еще и примеры с графиками.']",12+,2024.0
Информатика. 7 класс. Базовый уровень,"['Л. Л. Босова', 'А. Ю. Босова']",https://www.litres.ru/book/anna-bosova/informatika-7-klass-68294027/,3.3,7,2,259.0,535.0,"['Отличная книга. Актуальная информация и всё написано в доступной форме. Для школьной программы самое то. Учебник грамотно структурирован. И порадовало, что есть вопросы для самопроверки после каждой темы.', 'мне нравится. это очень хорошая книга. очень вам благодарна за то, что вы выпускаете ещё больше книг с таким названием.!']",0+,2023.0
"Чистый код: создание, анализ и рефакторинг (pdf+epub)",['Роберт Мартин'],https://www.litres.ru/book/robert-s-martin/chistyy-kod-sozdanie-analiz-i-refaktoring-pdf-epub-6444478/,4.3,121,19,464.0,599.0,"['Несмотря на то, что некоторые вещи, расмотренные в книге, кажутся очевидными, зачастую даже опытные программисты упускают их из виду. Поэтому книга подойдет как новичкам в программировании, так и «гуру». Для новичков это прекрасный шанс привить себе навыки грамотного написания и документирования кода.', 'Книга обязательна к прочтению всем программистам. Я читал ее в начале своего пути, как программиста. Идеи книги неоднократно меня выручали. Однако, автор преподносит эти идеи в немного категоричном тоне. К рекомендациям стоит относиться с осторожностью. Если строго следовать каждому совету – получится преждевременная оптимизация программы со всеми вытекающими негативными последствиями.', 'Читал книжку в оригинале. Конечно те, кто пишет на Java получать максимум из книги, но и тем, кто работает с другими языками, будут очень полезны первые 30% книги – как правильно называть переменные, как организовать класс, сколько аргументов лучше передавать в функцию и т.д. Все эти вещи проходят всколзь при подготовке программистов в ВУЗах, а ведь именно из таких мелочей и складываются хорошие системы. Вообще, стоит прочитать точно всем программистам.', 'Я фронтенд разработчик на js, а книга для джавистов но прочитал с удовольствием, много принципов, подходящих всем. Некоторые недостатки уже начал видеть в коде нашего проекта. Рекомендую кан продолжение книги Рефакторинг.', 'Учусь на программиста. Быстро стало понятно, что моя будущая квалификация во многом зависит от самообразования. Не все из этой книги мне понятно на данный момент, но книга полезная. В учебных заведениях почти не учат писать хороший код. А эта книга учит.']",16+,
Архитектура компьютера,"['Эндрю Таненбаум', 'Тодд Остин']",https://www.litres.ru/book/endru-tanenbaum/arhitektura-komputera-66738078/,4.2,6,3,816.0,699.0,"['Большая, сложная, информативная книга. Рассказаны основы основ современного компьютера. не ищите в ней поверхностных знаний о актуальных вопросах, она освещает общую обстановку самого ""дна"" вычислительных машин - как работает то, о существовании чего обычный пользователь даже не догадывается.', 'Если сосредоточенно погружаться, интересно. Иногда надо себя заставлять. Но все же это серьезная литература. автор (г-н Таненбаум) весьма опытный преподаватель и методист', 'Ну что же, прочитав половину этой книги могу с уверенностью рекомендовать каждому it специалисту. Несомненно буду перечитывать её езё раз.']",16+,2015.0
C++20 для программистов (pdf+epub),"['Пол Дейтел', 'Харви Дейтел']",https://www.litres.ru/book/pol-deytel/c-20-dlya-programmistov-pdf-epub-70870268/,0.0,0,0,1056.0,699.0,[],16+,2022.0
1С:Предприятие 8.3. Практическое пособие разработчика. Примеры и типовые приемы. Издание 3-е,"['м. г. радченко', 'Е. Ю. Хрусталева']",https://www.litres.ru/book/e-u-hrustaleva/1s-predpriyatie-8-3-prakticheskoe-posobie-razrabotchika-pri-40932461/,4.5,72,15,983.0,180.0,"['Книга супер!!! Даю проверенный совет. Прошла книгу от начала и до конца и заметила в своих навыках очень положительные изменения. Много хороших практических доступных примеров. Я очень довольна. Это то что я искала.', 'Довольно не плохая книга для начинающего разработчика 1с, занятия построены от простого к сложному, рекомендую установить учебную версию 1с предприятие и стразу тренироваться, вы будете разрабатывать прикладное решение для не большой фирмы оказывающей бытовые услуги.', 'Задумка хорошая, но реализация так себе!', 'Прекрасная книга для не особо начинающих в 1С. Совсем новичку с нулевым уровнем довольно трудно читать. Но сама по себе книга является исчерпывающим ответом на большинство вопросов молодого специалиста.', 'Замечательная книга для обучающихся программированию с 1С. Все материалы в доступной для понимания форме. Использую, как шпаргалку во время своего обучения. Доступна для скачивания, что очень удобно. Моё обучение проходит с использованием материалов этой книги. Содержит ознакомительную информацию о самой ИБ, а также по отдельности описаны элементы дерева конфигурации, приемы разработки и редактирования.']",12+,2023.0
